steamId,releaseDate,year,month,firstTimeStamp,firstSales,monthlySalesGrowth
1938090,2022-10-27,2023,10,2023-10-01 21:00:14,17704691,693221
1938090,2022-10-27,2023,11,2023-11-01 21:06:26,18477268,772577
1938090,2022-10-27,2023,12,2023-12-01 22:12:26,21458391,2981123
1938090,2022-10-27,2024,1,2024-01-01 21:59:03,23243039,1784648
1938090,2022-10-27,2024,2,2024-02-01 22:22:39,24393698,1150659
1938090,2022-10-27,2024,3,2024-03-01 22:20:21,25372371,978673
1938090,2022-10-27,2024,4,2024-04-01 21:19:24,26211173,838802
1938090,2022-10-27,2024,5,2024-05-01 21:10:09,27114059,902886
1938090,2022-10-27,2024,6,2024-06-01 22:02:08,27891489,777430
1938090,2022-10-27,2024,7,2024-07-01 20:45:29,28552026,660537
1938090,2022-10-27,2024,8,2024-08-01 16:43:23,29139059,587033
1938090,2022-10-27,2024,9,2024-09-01 17:17:47,29869817,730758
1938090,2022-10-27,2024,10,2024-10-01 17:07:41,30497099,627282
1599340,2022-02-11,2021,6,2021-06-11 16:00:00,142867,142867
1599340,2022-02-11,2021,7,2021-07-02 16:00:00,149580,6713
1599340,2022-02-11,2021,8,2021-08-02 16:00:00,159537,9957
1599340,2022-02-11,2021,9,2021-09-02 16:00:00,169419,9882
1599340,2022-02-11,2021,10,2021-10-02 16:00:00,178999,9580
1599340,2022-02-11,2021,11,2021-11-02 16:00:00,188956,9957
1599340,2022-02-11,2021,12,2021-12-02 17:00:00,198535,9579
1599340,2022-02-11,2022,1,2022-01-02 17:00:00,208492,9957
1599340,2022-02-11,2022,2,2022-02-02 17:00:00,218374,9882
1599340,2022-02-11,2022,3,2022-03-02 17:00:00,9106756,8888382
1599340,2022-02-11,2022,4,2022-04-02 16:00:00,10797023,1690267
1599340,2022-02-11,2022,5,2022-05-02 16:00:00,11296228,499205
1599340,2022-02-11,2022,6,2022-06-02 16:00:00,11636272,340044
1599340,2022-02-11,2022,7,2022-07-02 16:00:00,12070606,434334
1599340,2022-02-11,2022,8,2022-08-02 16:00:00,12268689,198083
1599340,2022-02-11,2022,9,2022-09-02 16:00:00,12465263,196574
1599340,2022-02-11,2022,10,2022-10-02 16:00:00,12586180,120917
1599340,2022-02-11,2022,11,2022-11-02 16:00:00,12691708,105528
1599340,2022-02-11,2022,12,2022-12-02 17:00:00,13339739,648031
1599340,2022-02-11,2023,1,2023-01-02 21:30:52,13896725,556986
1599340,2022-02-11,2023,2,2023-02-01 21:44:33,14231565,334840
1599340,2022-02-11,2023,3,2023-03-01 21:33:44,14319518,87953
1599340,2022-02-11,2023,4,2023-04-01 20:42:09,14402643,83125
1599340,2022-02-11,2023,5,2023-05-01 21:24:03,14478376,75733
1599340,2022-02-11,2023,6,2023-06-01 21:46:22,14541437,63061
1599340,2022-02-11,2023,7,2023-07-01 22:11:40,14602536,61099
1599340,2022-02-11,2023,8,2023-08-01 21:24:42,14645759,43223
1599340,2022-02-11,2023,9,2023-09-01 21:32:38,14690112,44353
1599340,2022-02-11,2023,10,2023-10-01 22:48:11,14740500,50388
1599340,2022-02-11,2023,11,2023-11-01 23:07:53,14781686,41186
1599340,2022-02-11,2023,12,2023-12-01 00:46:45,14851988,70302
1599340,2022-02-11,2024,1,2024-01-01 01:24:31,14885706,33718
1599340,2022-02-11,2024,2,2024-02-01 01:41:10,14927570,41864
1599340,2022-02-11,2024,3,2024-03-02 00:42:37,14958950,31380
1599340,2022-02-11,2024,4,2024-04-02 00:02:25,14993045,34095
1599340,2022-02-11,2024,5,2024-05-02 23:46:18,15033702,40657
1599340,2022-02-11,2024,6,2024-06-02 01:22:11,15055653,21951
1599340,2022-02-11,2024,7,2024-07-01 22:15:34,15078358,22705
1599340,2022-02-11,2024,8,2024-08-01 18:44:47,15099856,21498
1599340,2022-02-11,2024,9,2024-09-01 20:04:30,15121203,21347
1599340,2022-02-11,2024,10,2024-10-01 19:53:18,15132744,11541
1174180,2019-12-05,2019,12,2019-12-05 21:00:00,700791,700791
1174180,2019-12-05,2020,1,2020-01-01 21:00:00,1028253,327462
1174180,2019-12-05,2020,2,2020-02-01 21:00:00,1469974,441721
1174180,2019-12-05,2020,3,2020-03-01 21:00:00,1472495,2521
1174180,2019-12-05,2020,4,2020-04-01 20:00:00,1761395,288900
1174180,2019-12-05,2020,5,2020-05-01 20:00:00,1767732,6337
1174180,2019-12-05,2020,6,2020-06-01 20:00:00,1888660,120928
1174180,2019-12-05,2020,7,2020-07-01 20:00:00,2044925,156265
1174180,2019-12-05,2020,8,2020-08-01 20:00:00,2299544,254619
1174180,2019-12-05,2020,9,2020-09-01 20:00:00,2302900,3356
1174180,2019-12-05,2020,10,2020-10-01 20:00:00,2454270,151370
1174180,2019-12-05,2020,11,2020-11-01 20:00:00,2925937,471667
1174180,2019-12-05,2020,12,2020-12-01 21:00:00,3132445,206508
1174180,2019-12-05,2021,1,2021-01-01 21:00:00,3330580,198135
1174180,2019-12-05,2021,2,2021-02-01 21:00:00,3806250,475670
1174180,2019-12-05,2021,3,2021-03-01 21:00:00,3811093,4843
1174180,2019-12-05,2021,4,2021-04-01 20:00:00,3822210,11117
1174180,2019-12-05,2021,5,2021-05-01 20:00:00,3842676,20466
1174180,2019-12-05,2021,6,2021-06-01 20:00:00,3962964,120288
1174180,2019-12-05,2021,7,2021-07-01 20:00:00,4148130,185166
1174180,2019-12-05,2021,8,2021-08-01 20:00:00,4286202,138072
1174180,2019-12-05,2021,9,2021-09-01 20:00:00,4430291,144089
1174180,2019-12-05,2021,10,2021-10-01 20:00:00,4537850,107559
1174180,2019-12-05,2021,11,2021-11-01 20:00:00,4778079,240229
1174180,2019-12-05,2021,12,2021-12-01 21:00:00,5028203,250124
1174180,2019-12-05,2022,1,2022-01-01 21:00:00,5284130,255927
1174180,2019-12-05,2022,2,2022-02-01 21:00:00,5450336,166206
1174180,2019-12-05,2022,3,2022-03-01 21:00:00,5608919,158583
1174180,2019-12-05,2022,4,2022-04-01 20:00:00,5752313,143394
1174180,2019-12-05,2022,5,2022-05-01 20:00:00,5904425,152112
1174180,2019-12-05,2022,6,2022-06-01 20:00:00,6047365,142940
1174180,2019-12-05,2022,7,2022-07-01 20:00:00,6252240,204875
1174180,2019-12-05,2022,8,2022-08-01 20:00:00,6423045,170805
1174180,2019-12-05,2022,9,2022-09-01 20:00:00,6592513,169468
1174180,2019-12-05,2022,10,2022-10-01 20:00:00,6746818,154305
1174180,2019-12-05,2022,11,2022-11-01 20:00:00,7082331,335513
1174180,2019-12-05,2022,12,2022-12-01 21:00:00,7528800,446469
1174180,2019-12-05,2023,1,2023-01-02 22:35:31,8313455,784655
1174180,2019-12-05,2023,2,2023-02-01 22:29:44,9026705,713250
1174180,2019-12-05,2023,3,2023-03-01 22:28:00,9096632,69927
1174180,2019-12-05,2023,4,2023-04-01 21:50:17,9636569,539937
1174180,2019-12-05,2023,5,2023-05-01 23:06:46,10152828,516259
1174180,2019-12-05,2023,6,2023-06-02 00:03:56,10325732,172904
1174180,2019-12-05,2023,7,2023-07-01 00:41:40,10876821,551089
1174180,2019-12-05,2023,8,2023-08-01 22:44:08,11890385,1013564
1174180,2019-12-05,2023,9,2023-09-01 22:53:42,11997901,107516
1174180,2019-12-05,2023,10,2023-10-01 00:08:27,12439700,441799
1174180,2019-12-05,2023,11,2023-11-01 00:26:16,12632541,192841
1174180,2019-12-05,2023,12,2023-12-02 01:52:46,13187246,554705
1174180,2019-12-05,2024,1,2024-01-01 02:43:20,13545422,358176
1174180,2019-12-05,2024,2,2024-02-01 02:59:20,13660411,114989
1174180,2019-12-05,2024,3,2024-03-01 02:57:39,13959394,298983
1174180,2019-12-05,2024,4,2024-04-02 01:11:08,14097574,138180
1174180,2019-12-05,2024,5,2024-05-01 00:25:56,14271011,173437
1174180,2019-12-05,2024,6,2024-06-01 01:09:05,14420455,149444
1174180,2019-12-05,2024,7,2024-07-01 22:59:35,14697515,277060
1174180,2019-12-05,2024,8,2024-08-01 20:05:15,15082226,384711
1174180,2019-12-05,2024,9,2024-09-01 21:17:59,15144046,61820
1174180,2019-12-05,2024,10,2024-10-01 21:10:25,15281165,137119
440,2007-10-10,2015,1,2015-01-01 16:00:00,30764327,30764327
440,2007-10-10,2015,2,2015-02-02 16:00:00,31407127,642800
440,2007-10-10,2015,3,2015-03-02 16:00:00,32049390,642263
440,2007-10-10,2015,4,2015-04-02 15:00:00,32691440,642050
440,2007-10-10,2015,5,2015-05-02 15:00:00,33337027,645587
