name,averageRevenue,medianRevenue,totalRevenue,publishedGames
Hammerfall Publishing,214745,214745,214745,1
Tortuga Team,132017.99641238467,122256,792107.978474308,6
DimnHouse,214530,214530,214530,1
RewindApp,18723.620563703753,1232.5,1273206.1983318552,68
Fast Travel Games,79811.1,52084,798111,10
The Fool's Studio,216193,216193,216193,1
Rewind Games,169646,169646,169646,1
100 Stones Interactive,214144,214144,214144,1
Marevo Collective,107784,107784,215568,2
Tiny Forge Gaming,214565,214565,214565,1
Bear & Cat Studio,213874,213874,213874,1
Blueside,376513.5,376513.5,753027,2
Incredi Soft,376513.5,376513.5,753027,2
Raiyon Studios Pte Ltd,210986,210986,210986,1
Sony Music Entertainment (Japan) Inc. / UNTIES,77509,46738.5,310036,4
Jetpack Collective,70458.33333333333,0,211375,3
The Iterative Collective,170941.8,166620,854709,5
Maru VR Productions,237511,237511,237511,1
Forever Entertainment S. A.,55203.045454545456,8865.5,3643401,66
Blind Mind Studios,511132,511132,1022264,2
Next Dimension Game Adventures Ltd.,235917.5,235917.5,471835,2
Stratecade LLC,212453,212453,212453,1
Destructive Creations,846270.25,57194.5,10155243,12
Illwinter Game Design,681951.2857142857,661807,4773659,7
Wingjoy Games,80551.66666666667,15898,241655,3
Winged Cloud,115589.01492693646,19158,6126217.791127632,53
Size Five Games,107509.8,94594,537549,5
Anotherindie,106277,80966,318831,3
Rolling Crown,73580.8,34705,367904,5
MemoGaming,211712,211712,211712,1
Yoba Games,212217,212217,212217,1
The Fox Knocks,73882.33333333333,10674,221647,3
b-alive gmbh,34397.26666666667,10555,515959,15
Spiral Summit Games,123571,123571,247142,2
Triple.B.Titles,211099,211099,211099,1
